Region,12 mo Avg Inflation,month_year
Midwest,2.5,January 2020
Midwest,1.2,January 2021
Midwest,7.9,January 2022
Midwest,6,January 2023
Midwest,2.7,January 2024
Midwest,2.1,February 2020
Midwest,1.7,February 2021
Midwest,8,February 2022
Midwest,5.6,February 2023
Midwest,2.8,February 2024
Midwest,1,March 2020
Midwest,3,March 2021
Midwest,8.6,March 2022
Midwest,4.9,March 2023
Midwest,2.8,March 2024
Midwest,-0.4,April 2020
Midwest,4.9,April 2021
Midwest,8.2,April 2022
Midwest,4.9,April 2023
Midwest,2.8,April 2024
Midwest,-0.4,May 2020
Midwest,5.6,May 2021
Midwest,8.8,May 2022
Midwest,3.7,May 2023
Midwest,2.7,May 2024
Midwest,0.4,June 2020
Midwest,5.8,June 2021
Midwest,9.5,June 2022
Midwest,2.4,June 2023
Midwest,2.5,June 2024
Midwest,0.7,July 2020
Midwest,5.9,July 2021
Midwest,8.6,July 2022
Midwest,2.9,July 2023
Midwest,2.7,July 2024
Midwest,1.1,August 2020
Midwest,5.7,August 2021
Midwest,8.1,August 2022
Midwest,3.4,August 2023
Midwest,2.6,August 2024
Midwest,1.3,September 2020
Midwest,5.7,September 2021
Midwest,8.1,September 2022
Midwest,3.2,September 2023
Midwest,2.5,September 2024
Midwest,1,October 2020
Midwest,6.6,October 2021
Midwest,7.4,October 2022
Midwest,2.9,October 2023
Midwest,2.6,October 2024
Midwest,1,November 2020
Midwest,7.3,November 2021
Midwest,6.8,November 2022
Midwest,2.9,November 2023
Midwest,NA,November 2024
Midwest,1.1,December 2020
Midwest,7.5,December 2021
Midwest,6,December 2022
Midwest,3.2,December 2023
Midwest,NA,December 2024
Northeast,2.3,January 2020
Northeast,1.1,January 2021
Northeast,6.3,January 2022
Northeast,6,January 2023
Northeast,2.5,January 2024
Northeast,2.4,February 2020
Northeast,1.2,February 2021
Northeast,6.6,February 2022
Northeast,5.9,February 2023
Northeast,2.4,February 2024
Northeast,1.7,March 2020
Northeast,2.1,March 2021
Northeast,7.3,March 2022
Northeast,4.3,March 2023
Northeast,3.4,March 2024
Northeast,0.8,April 2020
Northeast,3.3,April 2021
Northeast,7.2,April 2022
Northeast,3.8,April 2023
Northeast,3.6,April 2024
Northeast,0.6,May 2020
Northeast,3.9,May 2021
Northeast,7.5,May 2022
Northeast,3.1,May 2023
Northeast,3.9,May 2024
Northeast,0.8,June 2020
Northeast,4.6,June 2021
Northeast,7.6,June 2022
Northeast,2.2,June 2023
Northeast,3.8,June 2024
Northeast,1.1,July 2020
Northeast,4.3,July 2021
Northeast,7.3,July 2022
Northeast,2.6,July 2023
Northeast,3.6,July 2024
Northeast,1.1,August 2020
Northeast,4.4,August 2021
Northeast,7.4,August 2022
Northeast,2.8,August 2023
Northeast,3.4,August 2024
Northeast,1.2,September 2020
Northeast,4.6,September 2021
Northeast,7.2,September 2022
Northeast,3,September 2023
Northeast,3.4,September 2024
Northeast,1.1,October 2020
Northeast,5.4,October 2021
Northeast,6.9,October 2022
Northeast,2.7,October 2023
Northeast,3.5,October 2024
Northeast,1.1,November 2020
Northeast,6,November 2021
Northeast,6.4,November 2022
Northeast,2.5,November 2023
Northeast,NA,November 2024
Northeast,1.4,December 2020
Northeast,5.9,December 2021
Northeast,6.1,December 2022
Northeast,2.6,December 2023
Northeast,NA,December 2024
South,2.3,January 2020
South,1.6,January 2021
South,7.8,January 2022
South,6.9,January 2023
South,3.4,January 2024
South,1.9,February 2020
South,2,February 2021
South,8.4,February 2022
South,6.4,February 2023
South,3.7,February 2024
South,1.1,March 2020
South,2.9,March 2021
South,9.1,March 2022
South,5.3,March 2023
South,3.8,March 2024
South,-0.2,April 2020
South,4.4,April 2021
South,8.8,April 2022
South,5.5,April 2023
South,3.3,April 2024
South,-0.4,May 2020
South,5.6,May 2021
South,9.2,May 2022
South,4.4,May 2023
South,3.2,May 2024
South,0.3,June 2020
South,5.8,June 2021
South,9.8,June 2022
South,3.3,June 2023
South,2.9,June 2024
South,0.6,July 2020
South,5.8,July 2021
South,9.4,July 2022
South,3.4,July 2023
South,2.9,July 2024
South,1.1,August 2020
South,5.6,August 2021
South,8.9,August 2022
South,4.1,August 2023
South,2.3,August 2024
South,1.3,September 2020
South,5.8,September 2021
South,8.7,September 2022
South,4.2,September 2023
South,2.1,September 2024
South,1.3,October 2020
South,6.6,October 2021
South,8.1,October 2022
South,3.7,October 2023
South,2.5,October 2024
South,1.2,November 2020
South,7.2,November 2021
South,7.7,November 2022
South,3.4,November 2023
South,NA,November 2024
South,1.4,December 2020
South,7.4,December 2021
South,7,December 2022
South,3.7,December 2023
South,NA,December 2024
West,2.9,January 2020
West,1.4,January 2021
West,7.7,January 2022
West,6.3,January 2023
West,3.3,January 2024
West,3.1,February 2020
West,1.6,February 2021
West,8.1,February 2022
West,6,February 2023
West,3.2,February 2024
West,2.5,March 2020
West,2.4,March 2021
West,8.7,March 2022
West,5.1,March 2023
West,3.6,March 2024
West,1.3,April 2020
West,3.9,April 2021
West,8.3,April 2022
West,4.9,April 2023
West,3.7,April 2024
West,0.8,May 2020
West,4.7,May 2021
West,8.3,May 2022
West,4.5,May 2023
West,3.3,May 2024
West,1.2,June 2020
West,5.1,June 2021
West,8.8,June 2022
West,3.5,June 2023
West,2.8,June 2024
West,1.7,July 2020
West,5.2,July 2021
West,8.3,July 2022
West,3.5,July 2023
West,2.6,July 2024
West,1.9,August 2020
West,5,August 2021
West,8.1,August 2022
West,3.9,August 2023
West,2.2,August 2024
West,1.6,September 2020
West,5.3,September 2021
West,8.3,September 2022
West,3.9,September 2023
West,2.1,September 2024
West,1.2,October 2020
West,6,October 2021
West,8.1,October 2022
West,3.3,October 2023
West,2.1,October 2024
West,1.4,November 2020
West,6.5,November 2021
West,7.1,November 2022
West,3.3,November 2023
West,NA,November 2024
West,1.5,December 2020
West,7.1,December 2021
West,6.2,December 2022
West,3.6,December 2023
West,NA,December 2024
